animals|meta|title|What animal are you?
animals|meta|description|Answer a few questions and find out which animal lives inside you
animals|meta|start_btn|Start
animals|meta|result_title|You are a
animals|meta|share_btn|Share
animals|meta|retry_btn|Try again
animals|meta|progress|Question {current} of {total}
mythical|result|pegasus|trait2|Inspiration
mythical|result|elf|name|Elf
mythical|result|elf|desc|You are a graceful keeper of ancient knowledge. Immortal and bound to nature, you see the world through the eyes of millennia.
mythical|result|elf|trait0|Grace
mythical|result|elf|trait1|Immortality
mythical|result|elf|trait2|Ancient knowledge
mythical|result|basilisk|name|Basilisk
mythical|result|basilisk|desc|A single glance from you changes everything. You are feared and revered — the embodiment of power that needs no proof.
mythical|result|basilisk|trait0|Deadly gaze
mythical|result|basilisk|trait1|Power
mythical|result|basilisk|trait2|Solitude
mythical|result|yeti|name|Yeti
mythical|result|yeti|desc|You are a mysterious giant with a gentle heart, wandering through the snows. Misunderstood by many, but those brave enough to approach find a loyal friend.
mythical|result|yeti|trait0|Mystery
mythical|result|yeti|trait1|Gentleness
mythical|result|yeti|trait2|Misunderstood
mythical|result|chimera|name|Chimera
mythical|result|chimera|desc|You are a unique combination that defies classification. Unpredictable and fierce, you shatter every mold and expectation.
mythical|result|chimera|trait0|Unpredictability
mythical|result|chimera|trait1|Uniqueness
mythical|result|chimera|trait2|Ferocity
mythical|result|minotaur|name|Minotaur
mythical|result|minotaur|desc|You are a mighty force trapped in the labyrinth of your own emotions. Your rage is devastating, but deep inside you seek a way toward the light.
mythical|result|minotaur|trait0|Might
mythical|result|minotaur|trait1|Rage
mythical|result|minotaur|trait2|Seeking escape
mythical|result|selkie|name|Selkie
mythical|result|selkie|desc|You are torn between two worlds — leaving a piece of your heart in each. Your emotional depth is boundless, and the longing for the other shore never fades.
mythical|result|selkie|trait0|Shapeshifting
mythical|result|selkie|trait1|Longing
mythical|result|selkie|trait2|Emotional depth
mythical|result|djinn|name|Djinn
mythical|result|djinn|desc|You are an ancient force that grants wishes, but always on your own terms. Tricky and immensely powerful, you play by rules that others cannot fathom.
mythical|result|djinn|trait0|Trickery
mythical|result|djinn|trait1|Ancient power
mythical|result|djinn|trait2|Wish-granting
mythical|result|valkyrie|name|Valkyrie
mythical|result|valkyrie|desc|You are a warrior who chooses the worthy. Fearless and honorable, you stand at the threshold between life and death, deciding the fates of heroes.
mythical|result|valkyrie|trait0|Bravery
mythical|result|valkyrie|trait1|Honor
mythical|result|valkyrie|trait2|Fate
mythical|result|kitsune|name|Kitsune
mythical|result|kitsune|desc|You are a cunning sorcerer in a fox's skin. A shapeshifter with countless faces, you play with reality like a toy, and no one knows your true form.
mythical|result|kitsune|trait0|Cunning
mythical|result|kitsune|trait1|Shapeshifting
mythical|result|kitsune|trait2|Magic
mythical|result|golem|name|Golem
mythical|result|golem|desc|You are an unbreakable protector shaped from the earth itself. Loyal and unstoppable, you stand guard over those you were created to protect, until you crumble to dust.
mythical|result|golem|trait0|Protection
mythical|result|golem|trait1|Loyalty
mythical|result|golem|trait2|Unstoppability
mythical|question|mq1|text|Which element is closest to you?
mythical|option|mq1a|label|🔥 Fire — passion and destruction
mythical|option|mq1b|label|🌊 Water — depth and mysteries
mythical|option|mq1c|label|🌿 Earth — stability and strength
mythical|option|mq1d|label|✨ Air — freedom and lightness
mythical|question|mq2|text|How do you act when betrayed?
mythical|option|mq2a|label|🔥 Burn bridges to the ground
mythical|option|mq2b|label|🥶 Disappear forever and stay silent
mythical|option|mq2c|label|💔 Forgive but never forget
mythical|option|mq2d|label|🌙 Wait for the right moment to respond
mythical|question|mq3|text|Which superpower suits you best?
mythical|option|mq3a|label|💪 Unstoppable physical strength
mythical|option|mq3b|label|🔮 Seeing the future
mythical|option|mq3c|label|🫥 Invisibility
mythical|option|mq3d|label|🔄 Shapeshifting
mythical|question|mq4|text|What time of day is closest to you?
mythical|option|mq4a|label|🌅 Dawn — new beginnings
mythical|option|mq4b|label|☀️ Noon — time to act
mythical|option|mq4c|label|🌙 Twilight — magic between light and shadow
mythical|option|mq4d|label|🌑 Night — silence and true self
mythical|question|mq5|text|How do others see you?
mythical|option|mq5a|label|👑 A leader who's respected and feared
mythical|option|mq5b|label|🌟 A special person with a magical aura
mythical|option|mq5c|label|🎭 A mystery everyone wants to solve
mythical|option|mq5d|label|🤗 Someone who always makes you feel warm
mythical|question|mq6|text|What scares you the most?
mythical|option|mq6a|label|⛓️ Losing freedom
mythical|option|mq6b|label|💀 Being forgotten
mythical|option|mq6c|label|🪞 Losing control of yourself
mythical|option|mq6d|label|💔 Loneliness
mythical|question|mq7|text|What treasure would you guard?
mythical|option|mq7a|label|💎 Gold and jewels
mythical|option|mq7b|label|📚 Secret knowledge
mythical|option|mq7c|label|👨‍👩‍👧‍👦 Your family and loved ones
mythical|option|mq7d|label|🌍 The whole world from evil
mythical|question|mq8|text|Which magical place draws you?
mythical|option|mq8a|label|🌋 A volcano with rivers of lava
mythical|option|mq8b|label|🏰 An ancient castle in the mountains
mythical|option|mq8c|label|🌊 A sunken city at the ocean floor
mythical|option|mq8d|label|🌸 An enchanted forest with eternal spring
mythical|question|mq9|text|How do you make decisions?
mythical|option|mq9a|label|⚡ Instantly — and never look back
mythical|option|mq9b|label|🧘 Listen to my heart and intuition
mythical|option|mq9c|label|♟️ Calculate all moves ahead
mythical|option|mq9d|label|🌀 Wait for a sign and then act
mythical|question|mq10|text|What is your greatest strength?
mythical|option|mq10a|label|🔥 Unbreakable will
mythical|option|mq10b|label|💫 Ability to give hope
mythical|option|mq10c|label|🧠 Cool head under pressure
mythical|option|mq10d|label|🌊 Adapting to any conditions
mythical|question|mq11|text|What weapon would you choose?
mythical|option|mq11a|label|🗡️ A flaming sword that burns eternally
mythical|option|mq11b|label|🏹 A silver bow with starlight arrows
mythical|option|mq11c|label|🔱 A trident from the ocean depths
mythical|option|mq11d|label|✨ A wand made from an ancient tree
mythical|question|mq12|text|How do you protect those you love?
mythical|option|mq12a|label|🛡️ I become a shield and take the blow myself
mythical|option|mq12b|label|🌿 I heal their wounds and pain
mythical|option|mq12c|label|🌑 I hide them in shadows where no one can find them
mythical|option|mq12d|label|🎶 I cast protective enchantments on each one
mythical|question|mq13|text|What's your relationship with humans?
mythical|option|mq13a|label|👑 They respect and fear me
mythical|option|mq13b|label|🤝 I live among them but they don't know what I am
mythical|option|mq13c|label|🌟 They seek me but rarely find me
mythical|option|mq13d|label|🎭 I enchant them from afar
mythical|question|mq14|text|How do you handle your own power?
mythical|option|mq14a|label|🔥 I unleash it without limits
mythical|option|mq14b|label|⚖️ I keep it under strict control
mythical|option|mq14c|label|🌱 I share it with others
mythical|option|mq14d|label|🎭 I conceal it until it's needed
mythical|question|mq15|text|What do you do during a storm?
mythical|option|mq15a|label|⛈️ I fly straight into the lightning
mythical|option|mq15b|label|🌊 I dive deep where it's silent
mythical|option|mq15c|label|🐺 I howl along with the wind
mythical|option|mq15d|label|🍃 I dance among the raindrops
mythical|question|mq16|text|How do you mark your territory?
mythical|option|mq16a|label|🔥 Trails of fire that never go out
mythical|option|mq16b|label|🏔️ Majestic sculptures of stone and gold
mythical|option|mq16c|label|🌀 Whirlpools and underwater currents
mythical|option|mq16d|label|🍄 Fairy rings and fireflies at night
mythical|question|mq17|text|What happens when you're angry?
mythical|option|mq17a|label|🌋 Everything around me starts to burn
mythical|option|mq17b|label|🐺 Something dark awakens inside me
mythical|option|mq17c|label|❄️ I become cold and silent
mythical|option|mq17d|label|💨 I vanish until I calm down
mythical|question|mq18|text|What kind of magic attracts you?
mythical|option|mq18a|label|🔮 Magic of transformation and chaos
mythical|option|mq18b|label|✨ Ancient runes and incantations
mythical|option|mq18c|label|🌙 Magic of illusions and dreams
mythical|option|mq18d|label|🌊 Magic of elements and depths
mythical|question|mq19|text|How do you spend eternity?
mythical|option|mq19a|label|📚 I collect wisdom from all ages
mythical|option|mq19b|label|🔄 I am reborn and start everything anew
mythical|option|mq19c|label|🌺 I guard a sacred place
mythical|option|mq19d|label|🎵 I sing songs that no one hears
mythical|question|mq20|text|What's your relationship with the moon?
mythical|option|mq20a|label|🐺 The moon awakens my true nature
mythical|option|mq20b|label|🌕 I draw power from it
mythical|option|mq20c|label|🌑 I'm most active during the new moon darkness
mythical|option|mq20d|label|🌙 I dance in the moonbeams
mythical|question|mq21|text|How do you choose allies?
mythical|option|mq21a|label|💪 By their strength and courage
mythical|option|mq21b|label|💎 By the purity of their heart
mythical|option|mq21c|label|🧩 By their intellect and strategic thinking
mythical|option|mq21d|label|🔥 By their willingness to walk through fire
mythical|question|mq22|text|What legacy do you want to leave?
mythical|option|mq22a|label|📖 Legends that will be told for centuries
mythical|option|mq22b|label|⚖️ A just world for all creatures
mythical|option|mq22c|label|🌍 Secrets that protect the world
mythical|option|mq22d|label|🌈 Beauty and joy in every corner
mythical|question|mq23|text|How do you heal after a battle?
mythical|option|mq23a|label|🔥 I burn and rise again from the ashes
mythical|option|mq23b|label|🌊 I submerge into healing waters
mythical|option|mq23c|label|🌿 I rest in a quiet sacred place
mythical|option|mq23d|label|🐺 I lick my wounds and grow stronger
mythical|question|mq24|text|What sound represents you?
mythical|option|mq24a|label|🔥 The roar of flames and rolling thunder
mythical|option|mq24b|label|🎵 A gentle melody that enchants
mythical|option|mq24c|label|🐺 A long wolf howl in the night
mythical|option|mq24d|label|🌊 The deep hum of ocean depths
mythical|question|mq25|text|How do you greet a new day?
mythical|option|mq25a|label|🌅 I rise into the sky to meet the sun
mythical|option|mq25b|label|🌸 I awaken flowers and dew around me
mythical|option|mq25c|label|🌊 I watch from the depths as light pierces the water
mythical|option|mq25d|label|🐺 I return to human form with the first rays
